,DiemHP_INT1339,DiemHP_INT1332,DiemHP_INT1313,DatHP
175,7.3,7.6,4.6,1.0
176,8.4,5.9,4.3,0.0
177,7.6,9.6,7.7,1.0
178,0.0,0.0,5.1,0.0
179,0.0,0.0,0.0,0.0
180,6.4,7.7,4.8,1.0
181,4.3,3.4,4.6,1.0
182,2.2,0.0,2.3,0.0
183,5.1,7.4,4.1,1.0
184,7.8,7.7,7.2,1.0
185,1.2,3.8,2.9,1.0
186,4.5,1.6,4.5,1.0
187,6.1,0.0,3.0,0.0
188,7.6,7.6,7.1,1.0
189,6.9,10.0,5.0,1.0
190,7.6,5.1,5.8,1.0
191,6.5,2.8,3.0,1.0
192,0.0,4.3,4.0,1.0
193,6.4,7.7,7.4,1.0
194,8.2,4.0,1.6,1.0
195,8.1,4.4,5.0,1.0
196,7.3,5.2,3.9,1.0
197,5.2,4.0,4.3,1.0
198,6.1,2.1,2.0,1.0
199,7.0,2.0,2.8,1.0
200,6.4,7.5,5.7,1.0
201,8.5,5.6,6.4,1.0
202,6.7,8.7,6.0,1.0
203,6.4,5.8,5.9,1.0
204,9.1,6.8,7.5,1.0
205,7.0,0.0,4.5,0.0
206,7.0,5.8,6.6,1.0
207,9.3,6.8,5.9,1.0
208,6.1,3.5,5.9,0.0
209,5.5,4.1,5.6,1.0
210,5.1,6.6,2.3,1.0
211,6.6,7.7,3.8,1.0
212,5.8,5.0,5.4,1.0
213,5.4,5.0,5.1,1.0
214,8.1,8.2,5.1,1.0
215,5.8,5.3,4.0,1.0
216,6.7,7.0,6.3,1.0
217,6.4,5.7,6.0,1.0
218,7.0,7.8,8.0,1.0
219,5.5,0.0,0.5,1.0
220,5.2,4.7,5.4,1.0
221,6.4,9.4,5.2,1.0
222,5.5,4.5,5.9,1.0
223,7.2,10.0,5.8,1.0
224,6.9,7.7,5.6,1.0
225,5.5,8.0,7.5,1.0
226,4.7,4.3,2.1,1.0
227,6.1,5.3,5.7,1.0
228,3.5,3.1,2.7,1.0
229,6.4,4.7,4.3,1.0
230,4.8,4.3,3.6,1.0
231,2.0,7.3,6.1,1.0
232,5.5,4.4,4.6,1.0
233,1.8,7.7,2.7,1.0
234,2.5,3.9,4.3,0.0
235,5.0,4.8,0.0,0.0
236,9.7,8.0,5.5,1.0
237,5.4,10.0,6.8,1.0
238,6.4,2.0,4.6,1.0
239,6.2,8.8,7.2,1.0
240,6.7,6.8,6.4,1.0
241,7.3,5.9,6.8,1.0
