,DiemHP_INT1339,DiemHP_INT1306,DatHP
224,4.8,0.0,1.0
225,2.8,1.3,0.0
226,8.5,8.2,1.0
227,3.3,1.1,0.0
228,4.6,1.3,1.0
229,5.35,4.5,1.0
230,4.6,3.3,0.0
231,6.3,1.3,0.0
232,6.7,0.5,1.0
233,1.3,0.7,0.0
234,8.2,7.8,1.0
235,6.9,1.3,1.0
236,4.2,2.5,0.0
237,2.2,0.0,0.0
238,3.4,7.3,1.0
239,4.3,0.0,0.0
240,4.6,1.3,0.0
241,5.5,7.3,1.0
242,2.0,0.0,0.0
243,8.3,2.8,1.0
244,2.7,1.3,0.0
245,4.6,1.3,1.0
246,5.05,1.3,1.0
247,4.3,1.1,0.0
248,6.2,3.5,1.0
249,5.7,0.7,0.0
250,6.5,1.3,1.0
251,5.7,1.1,1.0
252,4.2,0.7,0.0
253,4.55,2.8,1.0
254,6.7,3.7,1.0
255,8.2,3.7,1.0
256,7.9,4.2,0.0
257,4.6,4.4,1.0
258,6.9,7.5,1.0
259,6.2,0.0,0.0
260,3.4,0.0,1.0
261,9.4,3.7,1.0
262,6.7,7.3,1.0
263,3.65,0.5,0.0
264,6.4,4.6,1.0
265,7.9,8.2,1.0
266,5.45,1.2,1.0
267,9.1,9.8,1.0
268,4.8,1.3,1.0
269,5.8,0.5,1.0
270,8.2,6.2,1.0
271,4.65,0.0,1.0
272,6.4,6.4,1.0
273,5.5,8.2,1.0
274,5.0,6.4,1.0
275,4.05,0.9,0.0
276,4.6,5.5,1.0
277,5.35,4.6,1.0
278,6.1,1.3,1.0
279,6.1,1.3,1.0
280,5.4,0.0,0.0
281,7.9,3.7,1.0
282,8.7,0.7,1.0
283,4.2,1.3,1.0
284,9.1,1.1,1.0
285,5.1,3.5,1.0
286,7.4,1.3,0.0
287,4.3,0.0,1.0
288,6.3,3.0,1.0
289,5.0,0.0,1.0
290,6.1,0.7,1.0
291,8.2,1.3,0.0
292,2.1,0.0,0.0
293,6.4,1.3,0.0
294,9.0,6.4,1.0
295,6.6,0.7,1.0
296,8.5,8.5,1.0
297,7.6,5.5,1.0
298,2.2,0.0,0.0
299,6.1,6.4,1.0
300,6.7,3.3,1.0
301,7.3,6.4,1.0
302,1.0,0.0,1.0
303,7.0,1.2,1.0
304,3.9,1.3,1.0
305,5.5,7.4,1.0
306,4.6,1.1,0.0
307,3.65,3.1,0.0
308,5.2,1.2,1.0
309,5.35,3.0,1.0
310,4.5,1.3,1.0
311,5.85,7.3,1.0
312,5.35,3.0,0.0
313,4.3,1.2,0.0
314,6.7,0.5,1.0
315,7.7,0.7,0.0
316,9.3,1.2,1.0
317,2.2,0.0,1.0
318,7.3,1.3,1.0
319,7.6,3.7,1.0
320,4.7,0.0,1.0
321,9.1,3.7,1.0
322,5.1,1.3,0.0
323,2.4,0.5,0.0
324,2.0,0.0,0.0
325,3.7,1.2,1.0
326,2.5999999999999996,0.9,1.0
327,2.8,1.1,0.0
328,6.2,6.7,1.0
329,6.1,8.2,1.0
330,5.1,1.3,0.0
331,4.6,2.4,1.0
332,4.6,0.7,0.0
333,9.4,8.2,1.0
334,6.1,1.3,1.0
335,7.0,9.1,1.0
336,5.75,6.4,1.0
337,2.3,6.2,1.0
338,7.0,0.65,1.0
339,4.4,1.1,1.0
340,5.2,1.1,1.0
341,3.6,1.1,0.0
342,9.4,3.7,1.0
343,8.4,0.5,1.0
344,7.0,6.4,1.0
345,0.0,0.9,0.0
346,3.7,5.5,1.0
347,3.4499999999999997,1.3,0.0
348,7.1,0.0,0.0
349,0.0,0.5,0.0
350,0.0,0.0,0.0
351,6.4,1.3,1.0
352,6.9,1.3,1.0
353,6.4,3.5,0.0
354,6.7,2.6,1.0
355,8.5,1.2,1.0
356,5.55,6.0,1.0
357,5.5,0.7,1.0
