,DiemHP_INT1339,DiemHP_INT1155,DiemHP_INT1358,DatHP
175,0.0,3.0,5.3,0.0
176,6.1,6.6,9.7,1.0
177,2.8,4.9,6.7,1.0
178,9.2,10.0,9.0,1.0
179,2.8,7.0,6.5,0.0
180,4.5,6.7,7.0,0.0
181,0.0,8.2,5.3,0.0
182,7.3,6.0,5.5,0.0
183,8.8,7.3,9.0,1.0
184,6.4,6.6,6.7,0.0
185,5.4,5.5,7.2,0.0
186,7.9,5.2,5.4,1.0
187,6.4,6.7,5.8,0.0
188,2.8,5.5,4.3,0.0
189,4.9,9.1,4.9,0.0
190,7.3,7.9,4.9,0.0
191,3.1,5.2,7.7,0.0
192,2.8,8.1,5.0,1.0
193,2.8,6.9,6.1,0.0
194,4.7,5.5,6.7,0.0
195,8.3,4.8,6.5,0.0
196,7.5,6.1,7.2,0.0
197,4.3,7.0,7.3,0.0
198,2.8,6.4,5.5,1.0
199,4.3,7.3,5.9,1.0
200,5.5,5.1,4.3,0.0
201,5.0,9.4,7.9,1.0
202,3.1,6.9,4.9,0.0
203,4.8,4.6,5.7,0.0
204,4.1,4.3,4.1,0.0
205,5.5,6.4,2.9,0.0
206,6.3,5.7,5.2,0.0
207,5.5,6.1,7.0,0.0
208,6.3,8.2,7.8,0.0
209,2.5,5.8,2.4,0.0
210,7.3,4.5,2.9,0.0
211,8.9,7.1,5.7,0.0
212,8.0,6.7,7.3,0.0
213,4.3,8.1,9.0,0.0
214,2.8,4.0,4.5,1.0
215,6.7,9.4,5.2,1.0
216,5.1,6.0,10.0,0.0
217,5.1,6.9,6.6,0.0
218,0.0,5.8,6.0,0.0
219,6.1,8.0,7.2,0.0
220,7.6,7.6,6.5,0.0
221,7.6,7.6,4.2,1.0
222,8.5,9.1,6.5,1.0
223,3.4,2.8,6.2,0.0
224,7.9,7.9,3.2,0.0
225,5.4,6.9,9.3,0.0
226,6.7,10.0,3.5,1.0
227,1.0,5.0,6.1,0.0
228,0.0,8.4,5.3,0.0
229,1.9,4.8,6.9,0.0
230,0.0,5.1,6.4,0.0
231,5.1,7.9,5.3,0.0
232,9.0,6.7,6.8,1.0
233,5.2,7.3,9.1,0.0
234,8.8,8.9,8.6,0.0
235,2.2,3.3,5.8,0.0
236,8.2,5.2,6.0,1.0
237,2.6,6.0,5.2,0.0
238,5.5,6.1,6.4,1.0
239,9.4,6.3,6.8,0.0
240,5.2,5.1,5.2,0.0
241,6.4,5.1,5.7,0.0
242,6.8,7.6,10.0,0.0
243,0.0,4.6,1.4,0.0
244,2.8,4.5,6.4,0.0
245,3.1,4.0,6.1,0.0
246,5.8,7.3,6.5,0.0
247,5.1,5.6,5.2,0.0
248,1.8,5.8,8.6,0.0
249,4.7,8.5,5.9,0.0
250,5.3,7.0,5.8,1.0
251,5.5,5.8,5.7,0.0
252,0.0,8.8,6.0,0.0
253,4.6,7.0,7.1,0.0
254,3.8,5.5,6.4,1.0
255,4.0,7.7,7.2,0.0
256,7.0,7.2,3.6,1.0
257,8.5,8.2,4.9,1.0
258,0.0,0.0,0.0,0.0
259,4.6,8.5,5.3,0.0
260,9.4,9.4,9.0,1.0
261,9.1,7.0,7.7,0.0
262,6.2,6.1,7.5,0.0
263,4.2,7.0,5.2,0.0
264,7.9,1.8,4.3,0.0
265,6.4,4.3,7.4,0.0
266,7.6,7.9,7.1,0.0
267,1.2,6.9,5.8,0.0
268,2.0,9.1,8.6,0.0
269,1.0,6.2,5.7,0.0
270,7.9,6.7,6.4,1.0
271,2.3,4.3,5.3,0.0
272,7.3,5.2,4.1,0.0
273,9.4,9.4,9.7,1.0
274,5.0,5.6,9.3,0.0
275,8.5,7.3,8.6,0.0
276,10.0,8.8,9.1,1.0
277,6.4,9.4,7.6,1.0
278,7.0,7.9,9.7,0.0
279,9.1,8.5,7.1,0.0
280,5.7,5.7,8.7,0.0
281,6.7,6.3,6.6,0.0
282,5.0,6.7,5.9,0.0
283,5.8,2.9,6.5,0.0
284,6.0,6.1,8.7,0.0
285,6.4,3.7,8.2,0.0
286,8.4,8.8,9.3,1.0
287,2.0,2.4,6.5,0.0
288,8.2,8.2,8.5,1.0
289,7.6,7.0,9.7,1.0
290,7.7,2.1,5.1,0.0
291,6.7,8.2,5.2,0.0
292,8.8,8.0,6.5,1.0
293,7.0,7.0,9.3,0.0
294,0.0,4.0,4.6,0.0
295,4.9,7.6,5.2,0.0
296,8.5,7.6,8.3,1.0
297,6.7,7.0,7.4,1.0
298,8.7,7.3,6.0,0.0
299,5.5,4.5,4.8,0.0
300,4.1,6.1,5.6,1.0
301,3.4,3.0,6.8,1.0
302,4.6,10.0,5.2,1.0
303,5.5,5.2,0.4,0.0
304,6.7,5.8,2.9,0.0
305,6.1,6.7,7.8,1.0
306,1.3,4.5,5.3,0.0
307,8.4,8.8,8.6,0.0
308,2.8,6.7,4.0,0.0
309,4.3,8.2,5.1,0.0
310,5.1,4.8,7.8,1.0
311,4.6,7.6,5.3,0.0
312,6.5,5.1,4.4,0.0
313,7.3,6.6,8.9,1.0
314,5.7,8.8,6.0,0.0
315,5.7,8.1,5.9,0.0
316,7.8,8.7,10.0,1.0
317,4.6,6.7,5.3,0.0
318,9.4,8.8,9.0,1.0
319,6.1,6.7,6.0,0.0
320,6.4,5.2,5.9,1.0
321,6.4,7.6,4.6,1.0
322,0.0,1.3,4.1,0.0
323,6.3,3.4,6.7,0.0
324,6.4,6.4,3.8,0.0
325,0.0,7.1,8.6,0.0
326,5.5,4.3,6.0,1.0
327,3.8,5.2,2.7,0.0
328,1.0,7.7,8.6,0.0
329,6.7,7.9,6.8,0.0
330,6.7,3.5,5.4,0.0
331,0.0,5.0,6.4,0.0
332,2.2,5.8,7.6,0.0
333,3.5,4.3,2.2,1.0
334,2.8,5.1,8.5,0.0
335,5.3,4.3,5.2,0.0
336,4.6,7.0,5.3,0.0
337,6.7,0.0,3.7,0.0
338,4.9,6.2,8.6,0.0
339,4.7,6.9,4.4,0.0
340,7.4,2.9,2.6,0.0
341,6.5,5.4,2.8,0.0
342,9.1,9.4,5.7,1.0
343,8.2,7.6,9.0,1.0
344,1.8,5.7,5.9,0.0
345,8.2,8.1,4.3,1.0
346,5.4,6.6,4.4,0.0
347,3.7,8.7,7.7,0.0
348,4.9,4.0,4.3,0.0
349,4.7,2.4,6.6,0.0
350,2.8,7.2,6.1,0.0
351,5.0,6.3,7.7,1.0
352,7.0,5.8,8.4,0.0
353,2.8,8.8,4.7,0.0
354,3.5,8.8,2.7,0.0
355,2.8,7.3,7.4,0.0
356,0.0,5.8,5.3,0.0
357,7.7,2.2,4.0,0.0
358,4.3,7.5,2.3,0.0
359,5.5,5.2,7.3,0.0
360,8.2,2.8,9.3,0.0
361,3.6,6.1,6.5,0.0
362,4.9,9.3,6.8,1.0
363,6.1,5.0,3.0,0.0
364,6.2,5.6,7.6,1.0
365,8.1,6.4,4.9,0.0
366,6.1,6.7,2.9,0.0
367,7.3,7.3,10.0,1.0
368,8.1,6.0,8.5,0.0
369,2.2,3.5,7.9,0.0
370,3.2,7.5,5.7,0.0
371,6.1,3.3,4.9,0.0
372,0.0,4.1,5.3,0.0
373,2.0,5.2,7.2,1.0
374,2.8,5.7,6.2,0.0
375,3.7,6.1,4.8,1.0
376,3.6,5.2,7.9,0.0
377,6.4,8.2,2.8,1.0
378,7.6,8.8,6.8,1.0
379,6.1,0.0,2.9,0.0
380,8.2,7.9,8.3,0.0
381,6.7,8.2,3.7,0.0
382,7.0,5.1,4.9,1.0
383,3.8,6.4,5.7,0.0
384,1.3,7.2,3.9,0.0
385,2.8,5.7,4.7,0.0
386,4.8,6.1,5.9,0.0
387,5.7,8.5,9.9,0.0
388,4.2,4.3,5.5,0.0
389,7.0,7.9,4.9,0.0
390,8.4,2.0,7.2,0.0
391,4.9,6.7,5.8,0.0
392,5.2,1.5,6.5,0.0
393,3.8,7.9,5.4,0.0
394,2.5,6.1,6.7,0.0
395,6.4,6.1,6.7,0.0
396,6.7,6.7,6.8,0.0
397,3.7,4.9,8.6,0.0
398,6.1,7.0,5.3,0.0
399,6.9,8.1,3.9,0.0
400,4.3,6.2,5.3,0.0
401,4.2,5.9,7.2,0.0
402,3.9,1.3,9.3,0.0
403,1.5,7.8,7.1,0.0
404,3.4,7.6,6.4,0.0
405,8.8,8.8,8.0,1.0
406,0.0,5.6,10.0,0.0
